,City,Colors Reported,Shape Reported,State,Time
0,Ithaca,Red,TRIANGLE,NY,6/1/1930 22:00
1,Willingboro,Red,OTHER,NJ,6/30/1930 20:00
2,Holyoke,Red,OVAL,CO,2/15/1931 14:00
3,Abilene,Red,DISK,KS,6/1/1931 13:00
4,New York Worlds Fair,Red,LIGHT,NY,4/18/1933 19:00
5,Valley City,Red,DISK,ND,9/15/1934 15:30
6,Crater Lake,Red,CIRCLE,CA,6/15/1935 0:00
7,Alma,Red,DISK,MI,7/15/1936 0:00
8,Eklutna,Red,CIGAR,AK,10/15/1936 17:00
9,Hubbard,Red,CYLINDER,OR,6/15/1937 0:00
10,Fontana,Red,LIGHT,CA,8/15/1937 21:00
11,Waterloo,Red,FIREBALL,AL,6/1/1939 20:00
12,Belton,RED,SPHERE,SC,6/30/1939 20:00
13,Keokuk,Red,OVAL,IA,7/7/1939 2:00
14,Ludington,Red,DISK,MI,6/1/1941 13:00
15,Forest Home,Red,CIRCLE,CA,7/2/1941 11:30
16,Los Angeles,Red,LIGHT,CA,2/25/1942 0:00
17,Hapeville,Red,LIGHT,GA,6/1/1942 22:30
18,Oneida,Red,RECTANGLE,TN,7/15/1942 1:00
19,Bering Sea,RED,OTHER,AK,4/30/1943 23:00
20,Nebraska,Red,DISK,NE,6/1/1943 15:00
21,City,Red,LIGHT,LA,8/15/1943 0:00
22,City,Red,LIGHT,LA,8/15/1943 0:00
23,Owensboro,Red,RECTANGLE,KY,10/15/1943 11:00
24,Wilderness,Red,DISK,WV,1/1/1944 10:00
25,San Diego,Red,CIGAR,CA,1/1/1944 12:00
26,Wilderness,Red,DISK,WV,1/1/1944 12:00
27,Clovis,Red,DISK,NM,4/2/1944 11:00
28,Los Alamos,Red,DISK,NM,6/1/1944 12:00
29,Ft. Duschene,Red,DISK,UT,6/30/1944 10:00
30,South Kingstown,Red,SPHERE,RI,7/1/1944 20:00
31,North Tampa,Red,CYLINDER,FL,7/15/1944 13:00
32,Ft. Lee,Red,CIGAR,VA,1/1/1945 12:00
33,Salinas AFB,Red,DISK,CA,6/1/1945 12:00
34,Jasper,Red,FIREBALL,FL,6/1/1945 13:30
35,Winston-Salem,Red,DISK,NC,6/7/1945 7:00
36,Portsmouth,RED,FORMATION,VA,7/10/1945 1:30
37,Dallas,Red,SPHERE,TX,7/15/1945 14:00
38,Huntington Beach,Red,DISK,CA,8/8/1945 12:00
39,San Antonio,Red,OVAL,NM,8/16/1945 11:30
40,Roswell,Red,SPHERE,NM,12/15/1945 2:00
41,New York City,Red,DISK,NY,1/8/1946 2:00
42,Merced,Red,SPHERE,CA,2/1/1946 17:00
43,Alice,Red,DISK,TX,3/15/1946 15:30
44,Blairsden,GREEN,SPHERE,CA,6/30/1946 19:00
45,Index,Red,FIREBALL,WA,6/30/1946 21:00
46,South Portland,Red,OVAL,ME,7/1/1946 13:30
47,Oak Lawn,Red,FORMATION,IL,9/12/1946 0:00
48,Dome,Red,FLASH,AZ,9/30/1946 20:30
49,Conroe,Red,OTHER,TX,1/10/1947 20:00
50,Syracuse,Red,DISK,NY,2/20/1947 22:15
51,Miami,Red,OTHER,FL,4/15/1947 14:00
52,San Deigo,Red,TRIANGLE,CA,4/15/1947 23:00
53,Minden,Red,LIGHT,LA,6/1/1947 0:00
54,Cleveland,Red,LIGHT,OH,6/1/1947 2:30
55,Espanola,Red,CIRCLE,NM,6/1/1947 17:00
56,Oroville,Red,LIGHT,CA,6/1/1947 18:00
57,Oakmont,Red,LIGHT,PA,6/13/1947 20:18
58,Winona,Red,DISK,MN,6/15/1947 10:00
59,Gackle,Red,OTHER,ND,6/15/1947 14:00
60,Madison,Red,DISK,WI,6/15/1947 18:00
61,Hayward,Red,CIRCLE,CA,6/20/1947 12:00
62,Tacoma,Red,OTHER,WA,6/30/1947 0:00
